ts,expiry,spot,n_contracts,atm_iv,oi_pcr,oi_pcr_usd,oi_pcr_2pct,oi_pcr_4pct,oi_pcr_10pct,vol_pcr,iv_skew,iv_wing,delta_pcr,theta_pcr,vega_pcr,sr_support_dist,sr_resistance_dist,sr_support_oi,sr_resistance_oi,net_dir_score,gamma_tilt,max_pain_dist,iv_bidask,iv_term_slope,funding_rate,perp_basis,ls_ratio_top,ls_ratio_global,ls_divergence,taker_ratio,total_oi,total_vol,perp_oi
1781436678019,260615,64585.11456522,26,0.348,0.9727786869963331,0.9727786869963332,0.8399534006435149,0.49043126356078887,0.9727786869963331,0.6406175669247071,-0.012,0.132,0.38079049749492144,0.51586736422608,0.5624374937789952,-0.07099336427730285,0.02190729929496693,150.74,143.43,0.116426,0.266299,-0.00906,0.004028,0.034,-3.881e-05,-0.0005824030114867262,1.5138,1.4213,0.0925,0.823,952.28,758.72,100891.915
1781436738034,260615,64609.39521739,26,0.348,0.9726129560191419,0.972612956019142,0.8399534006435149,0.4902362319900534,0.9726129560191419,0.6384378923669741,-0.008,0.136,0.3648561552607975,0.5150576078609651,0.5495860483471059,-0.07134249131849724,0.021523259549653062,150.74,143.43,0.117279,0.285886,-0.009432,0.004038,0.034,-3.913e-05,-0.00039150989271598193,1.5138,1.4219,0.0919,0.823,952.2,756.86,100889.525
1781436798041,260615,64610.07304348,26,0.348,0.9739611385010565,0.9739611385010564,0.8380941815963169,0.49185802739993173,0.9739611385010565,0.6422086263580743,-0.006,0.139,0.36557859435555595,0.5126134212613264,0.5509184625559841,-0.0713522338904895,0.021512542720461436,150.74,143.43,0.115532,0.28043,-0.009442,0.004039,0.033,-3.913e-05,-0.0005493227251550668,1.5145,1.4219,0.0926,1.6173,952.9100000000001,754.25,100891.508
1781436858046,260615,64609.8526087,26,0.348,0.934718218864924,0.9347182188649239,0.8383160463697374,0.46874782245139707,0.934718218864924,0.6422086263580743,-0.006,0.139,0.36382852593878173,0.5047753502056388,0.5430653218736752,-0.07134906554606912,0.021516027899324053,150.74,143.43,0.125807,0.286141,-0.009439,0.004041,0.033,-3.882e-05,-0.0005456964866260967,1.5145,1.4219,0.0926,1.6173,973.26,754.25,100893.594
1781436918060,260615,64632.81282609,26,0.345,0.934718218864924,0.9347182188649239,0.8383160463697374,0.46874782245139707,0.934718218864924,0.6414544505578148,-0.003,0.1415,0.34976810031744776,0.4765373233472095,0.5317886406845089,-0.07167896032245547,0.021153143645298966,150.74,143.43,0.126087,0.280016,-0.009791,0.004051,0.036,-3.89e-05,-0.00043032232102961334,1.5145,1.4231,0.0914,1.6173,973.26,754.79,100877.9
1781436978074,260615,64635.65478261,26,0.345,0.9337159196965786,0.9337159196965786,0.8373871128594381,0.4681606235646183,0.9337159196965786,0.6414544505578148,-0.006,0.141,0.34680285592146975,0.4672556308822282,0.5280427885553165,-0.07171977754694625,0.021108244698359258,150.74,143.77,0.126355,0.27984,-0.009834,0.004055,0.036,-3.839e-05,-0.0005347390129618069,1.5151,1.4231,0.092,1.6173,973.8000000000001,754.79,100870.592
1781437038083,260615,64638.08956522,26,0.345,0.9337159196965786,0.9337159196965785,0.8373871128594381,0.4681606235646183,0.9337159196965786,0.6414544505578148,-0.004,0.141,0.34620642488882847,0.468938120118982,0.5277992241785598,-0.07175474393531,0.021069781671158916,150.74,143.77,0.126355,0.281734,-0.009872,0.004057,0.036,-3.839e-05,-0.0005500269865096098,1.5151,1.4231,0.092,1.6173,973.8000000000001,754.79,100882.632
1781437098090,260615,64626.17934783,26,0.345,0.9337159196965786,0.9337159196965785,0.8373871128594381,0.4681606235646183,0.9337159196965786,0.6414544505578148,-0.004,0.143,0.3529713837757474,0.4678908367005172,0.5336741599731575,-0.07158367389987663,0.021257958710135805,150.74,143.77,0.126355,0.270544,-0.009689,0.004054,0.036,-3.841e-05,-0.0005940247608230767,1.5151,1.4231,0.092,1.6173,973.8000000000001,754.79,100889.252
1781437158091,260615,64626.7923913,26,0.344,0.9337159196965786,0.9337159196965786,0.8373871128594381,0.4681606235646183,0.9337159196965786,0.6414544505578148,-0.004,0.144,0.352216337276,0.4677753195324157,0.5329044907298528,-0.07159248076689095,0.021248271156419918,150.74,143.77,0.126355,0.271525,-0.009699,0.004056,0.037,-3.865e-05,-0.0005290745530579991,1.5151,1.4231,0.092,1.8842,973.8000000000001,754.79,100889.41
1781437218104,260615,64617.79826087,26,0.345,0.9337159196965786,0.9337159196965785,0.8373871128594381,0.4681606235646183,0.9337159196965786,0.6409247952021903,-0.003,0.1435,0.3589164169918856,0.470873071980509,0.5399032276427915,-0.07146325602471593,0.021390418372812414,150.74,143.77,0.126551,0.262711,-0.009561,0.004053,0.036,-3.865e-05,-0.0005122158563245671,1.5151,1.4231,0.092,1.8842,973.8000000000001,755.17,100896.76
